item,label,date,platforms,countryOfOrigin,mobygames_id
http://www.wikidata.org/entity/Q7112116,Outlaw,1976,arcade video game machine,United States of America,122040
http://www.wikidata.org/entity/Q7646895,Surround,1977,Atari 2600,United States of America,10934
http://www.wikidata.org/entity/Q130678,Basic Math,1977,Atari 2600,United States of America,8843
http://www.wikidata.org/entity/Q4133050,Star Ship,1977,Atari 2600,United States of America,10944
http://www.wikidata.org/entity/Q2588960,Combat,1977,Atari 2600,United States of America,8851
http://www.wikidata.org/entity/Q164478,Circus,1977,"arcade video game machine,Atari 2600",United States of America,26477
http://www.wikidata.org/entity/Q3492613,Space Wars,1977,"arcade video game machine,Nintendo Switch",United States of America,16820
http://www.wikidata.org/entity/Q7928009,"Videocart-8: Mind Reader, Nim",1977,Fairchild Channel F,,38858
http://www.wikidata.org/entity/Q182251,Air-Sea Battle,1977,Atari 2600,United States of America,10942
http://www.wikidata.org/entity/Q4923044,Blackjack,1977,Atari 2600,United States of America,17564
http://www.wikidata.org/entity/Q7927865,Video Olympics,1977,Atari 2600,United States of America,11727
http://www.wikidata.org/entity/Q2669973,Classic Empire,1977,"Linux,Microsoft Windows,Mac OS operating systems,Commodore 64,Commodore Amiga,DOS,mainframe computer,Atari ST,PDP-10,Classic Mac OS",United States of America,5766
http://www.wikidata.org/entity/Q7622905,Street Racer,1977,Atari 2600,United States of America,12192
http://www.wikidata.org/entity/Q2589476,Boot Hill,1977,arcade video game machine,United States of America,70244
http://www.wikidata.org/entity/Q3119382,Q3119382,1977,arcade video game machine,,71062
http://www.wikidata.org/entity/Q4866419,Baseball,1977,,United States of America,84845
http://www.wikidata.org/entity/Q1191944,Depthcharge,1977,arcade video game machine,United States of America,80314
http://www.wikidata.org/entity/Q10302032,Indy 500,"1977,1978",Atari 2600,United States of America,11710
http://www.wikidata.org/entity/Q124540344,Outlaw,1978,Atari 2600,,10370
http://www.wikidata.org/entity/Q220665,Space Invaders,1978,"Microsoft Windows,PlayStation,ZX Spectrum,calculator,iOS,Commodore 64,PlayStation Portable,DOS,Nintendo Entertainment System,watch,Super Nintendo Entertainment System,Nintendo 64,Game Boy,Game Boy Advance,arcade video game machine,Game Boy Color,Atari 2600,Atari 8-bit family,Atari 5200,MSX,WonderSwan,mobile game,SG-1000,handheld electronic game,Pelican VG Pocket,dedicated console",Japan,8806
http://www.wikidata.org/entity/Q7430846,Scepter of Goth,1978,QNX,,80189
http://www.wikidata.org/entity/Q5451497,Fire Truck,1978,arcade video game machine,United States of America,123032
http://www.wikidata.org/entity/Q55641905,Super Breakout,1978,arcade video game machine,United States of America,9260
http://www.wikidata.org/entity/Q5174063,Cosmic Conflict,1978,Magnavox Odyssey²,United States of America,28704
http://www.wikidata.org/entity/Q3949220,Santa Paravia and Fiumaccio,1978,"Commodore 64,TRS-80 Model I,Commodore PET",United States of America,22338
http://www.wikidata.org/entity/Q2855412,Family Composer,1978,Atari 2600,,11028
http://www.wikidata.org/entity/Q512485,Android Nim,1978,"Microsoft Windows,TRS-80 Model I,Commodore PET",United States of America,49766
http://www.wikidata.org/entity/Q3402275,Take the Money and Run,1978,Magnavox Odyssey²,United States of America,29154
http://www.wikidata.org/entity/Q5048841,Casino,1978,Atari 2600,United States of America,23418
http://www.wikidata.org/entity/Q4003254,Ultra Tank,1978,arcade video game machine,,70273
http://www.wikidata.org/entity/Q5862408,Flag Capture,1978,Atari 2600,United States of America,14879
http://www.wikidata.org/entity/Q48969736,Air Traffic Controller,1978,TRS-80 Model I,United States of America,55300
http://www.wikidata.org/entity/Q3283486,Gee Bee,1978,arcade video game machine,Japan,64573
http://www.wikidata.org/entity/Q7181045,Phasor Zap,1978,Apple II series,United States of America,82883
http://www.wikidata.org/entity/Q4955766,Brain Games,1978,Atari 2600,United States of America,13892
http://www.wikidata.org/entity/Q2990911,Computer Othello,1978,arcade video game machine,,63870
http://www.wikidata.org/entity/Q5260964,Depth Charge,1978,Apple II series,United States of America,83703
http://www.wikidata.org/entity/Q2887242,Basketball,1978,Atari 2600,United States of America,14905
http://www.wikidata.org/entity/Q379981,Adventureland,1978,"ZX Spectrum,Commodore 64,TRS-80 Model I,Commodore VIC-20,Dragon 32/64",United States of America,9818
http://www.wikidata.org/entity/Q5315155,Dungeon of Death,1978,Commodore PET,United States of America,29135
http://www.wikidata.org/entity/Q15036775,The Datestones of Ryn,1978,"TRS-80 Model I,Commodore PET",United States of America,9878
http://www.wikidata.org/entity/Q7541410,Slot Racers,1978,Atari 2600,United States of America,19482
http://www.wikidata.org/entity/Q2936913,Canyon Bomber,1978,Atari 2600,United States of America,22218
http://www.wikidata.org/entity/Q7601849,Starfleet Orion,1978,"TRS-80 Model I,Commodore PET",United States of America,53408
http://www.wikidata.org/entity/Q105615126,Home Run,1978,Atari 2600,United States of America,20198
http://www.wikidata.org/entity/Q4827474,Avalanche,1978,arcade video game machine,United States of America,63187
http://www.wikidata.org/entity/Q66204097,Sargon,1978,,,59169
http://www.wikidata.org/entity/Q4634128,3-D Docking Mission,1978,Apple II series,United States of America,82859
http://www.wikidata.org/entity/Q5505297,Frogs,1978,arcade video game machine,Japan,91724
http://www.wikidata.org/entity/Q4887174,Beneath Apple Manor,"1978,1982,1983",Apple II series,United States of America,8610
http://www.wikidata.org/entity/Q4793691,Armor Battle,1979,"Atari 2600,Intellivision",United States of America,8883
http://www.wikidata.org/entity/Q5465780,NFL Football,1979,"Atari 2600,Intellivision",United States of America,10394
http://www.wikidata.org/entity/Q102303,Akalabeth: World of Doom,1979,"iOS,Commodore 64,DOS,Apple II series",United States of America,1256
http://www.wikidata.org/entity/Q7263240,Pyramid 2000,1979,TRS-80 Color Computer,United States of America,42669
http://www.wikidata.org/entity/Q3869390,NASL Soccer,1979,"Atari 2600,Intellivision",United States of America,12344
http://www.wikidata.org/entity/Q7197781,Pirate Adventure,1979,"TRS-80 Model I,Commodore VIC-20,Dragon 32/64",United States of America,9819
http://www.wikidata.org/entity/Q1192514,Galaxian,1979,"ZX Spectrum,Commodore 64,Family Computer Disk System,DOS,Nintendo Entertainment System,Java Virtual Machine,Game Boy Color,Atari 2600,Atari 5200,MSX,Commodore VIC-20,ColecoVision",Japan,"137,74927,77476"
http://www.wikidata.org/entity/Q30899767,Sargon II,1979,Commodore 64,United States of America,22058
http://www.wikidata.org/entity/Q3218250,Q3218250,1979,Intellivision,,10587
http://www.wikidata.org/entity/Q48969741,Lost Dutchman's Gold,1979,TRS-80 Model I,United States of America,12293
http://www.wikidata.org/entity/Q7600990,Star Trek: Phaser Strike,1979,Microvision,United States of America,53882
http://www.wikidata.org/entity/Q748890,Asteroids,1979,"Android,Microsoft Windows,Xbox 360,iOS,arcade video game machine,Atari 2600,MOS Technology 6502,Atari 7800",United States of America,8872
http://www.wikidata.org/entity/Q55623053,Microsoft Adventure,1979,Apple II series,United States of America,4074
http://www.wikidata.org/entity/Q29881763,Galactic Empires,1979,Apple II,,14769
http://www.wikidata.org/entity/Q7927809,Video Chess,1979,"Atari 2600,Atari 8-bit family",United States of America,23401
http://www.wikidata.org/entity/Q29715,Superman,1979,Atari 2600,United States of America,13581
http://www.wikidata.org/entity/Q26207296,Dog Star Adventure,1979,TRS-80 Model I,United States of America,50026
http://www.wikidata.org/entity/Q3320087,Monaco GP,1979,"arcade video game machine,SG-1000",Japan,82587
http://www.wikidata.org/entity/Q4940405,Bomb Bee,1979,arcade video game machine,Japan,76887
http://www.wikidata.org/entity/Q2590391,Lunar Lander,1979,arcade video game machine,United States of America,65163
http://www.wikidata.org/entity/Q58465463,Human Cannonball,1979,Atari 2600,United States of America,10919
http://www.wikidata.org/entity/Q2819018,ABPA Backgammon,1979,Intellivision,United States of America,30426
http://www.wikidata.org/entity/Q7698710,Temple of Apshai,1979,"Commodore 64,Commodore PET,Classic Mac OS",United States of America,23891
http://www.wikidata.org/entity/Q5250293,Deep Scan,1979,Atari 2600,Japan,25172
http://www.wikidata.org/entity/Q1054993,Sheriff,1979,arcade video game machine,Japan,64019
http://www.wikidata.org/entity/Q123397743,4-Player Bowling Alley,1979,arcade video game machine,United States of America,168632
http://www.wikidata.org/entity/Q48999113,Flying Saucers,1979,TRS-80 Model I,United States of America,42825
http://www.wikidata.org/entity/Q1136685,Star Raiders,1979,"Atari 2600,Atari 8-bit family,Atari ST,Atari 5200",United States of America,9317
http://www.wikidata.org/entity/Q16259282,Starhawk,1979,"arcade video game machine,Vectrex",United States of America,13195
http://www.wikidata.org/entity/Q4951133,Bowling,1979,Atari 2600,United States of America,14960
http://www.wikidata.org/entity/Q2390105,Star Fire,1979,"Commodore 64,arcade video game machine",United States of America,63795
http://www.wikidata.org/entity/Q3359224,Ozma Wars,1979,arcade video game machine,Japan,53787
http://www.wikidata.org/entity/Q1592239,Head On,1979,"PlayStation 2,Zilog Z80",Japan,63347
http://www.wikidata.org/entity/Q48893700,Hockey! / Soccer!,1979,Magnavox Odyssey²,,32771
http://www.wikidata.org/entity/Q4927133,Block Buster,1979,Microvision,,53895
http://www.wikidata.org/entity/Q6703707,Lunar Rescue,1979,ZX Spectrum,Japan,"66710,55544"
http://www.wikidata.org/entity/Q3119249,Invasion Orion,1979,"TRS-80 Model I,Commodore PET",United States of America,53423
http://www.wikidata.org/entity/Q59848016,Secret Mission,1979,"ZX Spectrum,Commodore 64,Atari 8-bit family,Acorn Electron,TRS-80 Model I,BBC Micro,Commodore 16,Apple II",,9820
http://www.wikidata.org/entity/Q48969743,Global War,1979,Apple II series,United States of America,21535
http://www.wikidata.org/entity/Q5518147,Galaxy Wars,1979,"Super Nintendo Entertainment System,arcade video game machine",Japan,39392
http://www.wikidata.org/entity/Q5196850,Cutie Q,1979,arcade video game machine,Japan,76889
http://www.wikidata.org/entity/Q49001483,Pork Barrel,1979,TRS-80 Model I,United States of America,94430
http://www.wikidata.org/entity/Q5689198,Head On N,1979,arcade video game machine,,64009
http://www.wikidata.org/entity/Q7194857,Pinball,1979,Microvision,,61297
http://www.wikidata.org/entity/Q105957938,Bally Pin,1979,Bally Astrocade,,71368
http://www.wikidata.org/entity/Q16259279,Space Fever,1979,arcade video game machine,Japan,63045
http://www.wikidata.org/entity/Q118531196,Space War,1979,arcade-style video game,,168309
http://www.wikidata.org/entity/Q48969748,Three Mile Island,1979,Apple II,United States of America,64995
http://www.wikidata.org/entity/Q24953578,Fire One,1979,Commodore 64,,63796
http://www.wikidata.org/entity/Q2192105,Zork I,1980,"Microsoft Windows,Commodore 64,Commodore Amiga,DOS,Atari ST,MSX",United States of America,50
http://www.wikidata.org/entity/Q173626,Pac-Man,1980,"Android,Linux,Microsoft Windows,iPod Touch,ZX Spectrum,Xbox 360,iOS,Commodore 64,Commodore Amiga,Family Computer Disk System,PlayStation Portable,DOS,Nintendo Entertainment System,Super Nintendo Entertainment System,Game Boy Advance,Apple II series,IBM Personal Computer,Game Boy Color,Atari 2600,Atari 8-bit family,Texas Instruments TI-99/4A,Atari 5200,Game Gear,MSX,Commodore VIC-20,Intellivision,Neo Geo Pocket Color,Windows Phone,PlayStation 4,Xbox One",Japan,138
http://www.wikidata.org/entity/Q4951720,Boxing,1980,Atari 2600,United States of America,11589
http://www.wikidata.org/entity/Q2140407,Rogue,1980,"Linux,Microsoft Windows,ZX Spectrum,Mac OS operating systems,Commodore 64,Commodore Amiga,mainframe computer,Amstrad CPC,Atari ST,Classic Mac OS",United States of America,1743
http://www.wikidata.org/entity/Q2438302,King & Balloon,1980,"arcade video game machine,MSX",Japan,19630
http://www.wikidata.org/entity/Q7089060,Olympic Decathlon,1980,TRS-80 Model I,United States of America,1652
http://www.wikidata.org/entity/Q55616,Battlezone,1980,"ZX Spectrum,Commodore 64,PlayStation Portable,DOS,Atari 2600,Atari ST,Commodore VIC-20",United States of America,360
http://www.wikidata.org/entity/Q5157419,Computer Bismarck,1980,"TRS-80 Model I,Apple II",United States of America,11015
http://www.wikidata.org/entity/Q97654674,PGA Golf,1980,Intellivision,,13676
http://www.wikidata.org/entity/Q4833650,B-1 Nuclear Bomber,1980,"Commodore 64,DOS,Commodore PET",United States of America,4623
http://www.wikidata.org/entity/Q60172617,Savage Island,1980,"ZX Spectrum,Commodore 64,Atari 8-bit family,Acorn Electron,Texas Instruments TI-99/4A,TRS-80 Model I,BBC Micro,Commodore Plus/4,Commodore 16,Video Genie,Apple II",,29280
http://www.wikidata.org/entity/Q5183115,Crazy Balloon,1980,"Microsoft Windows,PlayStation 2,ZX Spectrum,Xbox,Atari 2600",Japan,70517
http://www.wikidata.org/entity/Q1192794,Missile Command,1980,"Microsoft Windows,PlayStation 2,ZX Spectrum,iOS,Game Boy,arcade video game machine,Game Boy Color,Atari 2600,MOS Technology 6502,Atari ST,Atari 5200,MSX",United States of America,"9177,42459"
http://www.wikidata.org/entity/Q1751498,Mystery House,1980,"iOS,Apple II",United States of America,9312
http://www.wikidata.org/entity/Q16267804,Sea Duel,1980,Microvision,United States of America,53881
http://www.wikidata.org/entity/Q7758385,The Prisoner,1980,Apple II,United States of America,9720
http://www.wikidata.org/entity/Q1468720,Space Panic,1980,"arcade video game machine,ColecoVision",Japan,10309
http://www.wikidata.org/entity/Q3968282,Star Castle,1980,"arcade video game machine,Vectrex",United States of America,12423
http://www.wikidata.org/entity/Q29884402,North Atlantic Convoy Raider,1980,Commodore 64,United States of America,14774
http://www.wikidata.org/entity/Q2862337,Armor Attack,1980,"arcade video game machine,Vectrex",United States of America,12420
http://www.wikidata.org/entity/Q7572357,Space Firebird,1980,Zilog Z80,Japan,64080
http://www.wikidata.org/entity/Q2589426,Warlords,1980,Atari 2600,United States of America,9143
http://www.wikidata.org/entity/Q97852144,Tennis,1980,Intellivision,,10544
http://www.wikidata.org/entity/Q48998027,Planet Miners,1980,Atari 8-bit family,United States of America,14772
